head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
20,27,0.031160643634948346,0.009195400924376484,29,attn:27-20,attn,0.6896551724137931,ceo_lastname
21,27,-0.002050458855714338,-2.075403582513849e-07,29,attn:27-21,attn,0.4482758620689655,ceo_lastname
22,27,0.011131578673679898,1.3322904867823187e-06,29,attn:27-22,attn,0.5517241379310345,ceo_lastname
23,27,0.013077266051741367,0.003448279046239711,29,attn:27-23,attn,0.7931034482758621,ceo_lastname
24,27,6.831361017116611e-05,0.0,29,attn:27-24,attn,0.4827586206896552,ceo_lastname
25,27,-6.30103507575563e-05,-2.7277813860147205e-08,29,attn:27-25,attn,0.3793103448275862,ceo_lastname
26,27,-8.819099437389847e-05,-2.7977244984766366e-08,29,attn:27-26,attn,0.3793103448275862,ceo_lastname
27,27,0.00039844099206402166,-3.2866431596407494e-09,29,attn:27-27,attn,0.4482758620689655,ceo_lastname
28,27,0.0006036012085402536,0.0004970280409507234,29,attn:27-28,attn,0.6551724137931034,ceo_lastname
29,27,-1.1100631045006057e-05,-1.0220575334686727e-08,29,attn:27-29,attn,0.41379310344827586,ceo_lastname
3,27,-6.574293231107986e-06,-3.9722407377512035e-09,29,attn:27-3,attn,0.3793103448275862,ceo_lastname
30,27,-0.00015133290615426193,-9.318794532426322e-07,29,attn:27-30,attn,0.3448275862068966,ceo_lastname
31,27,5.5478835528649895e-06,-3.9722407377512035e-09,29,attn:27-31,attn,0.3448275862068966,ceo_lastname
4,27,0.005522320456255595,-3.377262582950678e-06,29,attn:27-4,attn,0.4482758620689655,ceo_lastname
5,27,0.021185822469520468,0.01671852304173683,29,attn:27-5,attn,0.9310344827586207,ceo_lastname
6,27,0.0014613642303439797,-0.0002458526463414952,29,attn:27-6,attn,0.3448275862068966,ceo_lastname
7,27,0.0035343868629473516,-0.0012531399666681044,29,attn:27-7,attn,0.41379310344827586,ceo_lastname
8,27,0.00023910316123199176,9.77991474707934e-08,29,attn:27-8,attn,0.5862068965517241,ceo_lastname
9,27,-4.380891655396148e-05,1.195080562767723e-09,29,attn:27-9,attn,0.5172413793103449,ceo_lastname
0,28,0.0065819820109429125,0.002152738907949318,29,attn:28-0,attn,0.7931034482758621,ceo_lastname
1,28,-0.00013612260493297846,-3.007414161759613e-07,29,attn:28-1,attn,0.27586206896551724,ceo_lastname
10,28,0.001600651029581449,0.0008039511009563358,29,attn:28-10,attn,0.7241379310344828,ceo_lastname
11,28,-0.0013050825631835716,-0.001253134588805572,29,attn:28-11,attn,0.27586206896551724,ceo_lastname
12,28,-3.996695682714754e-05,-1.2123861256709925e-08,29,attn:28-12,attn,0.41379310344827586,ceo_lastname
13,28,0.00879676214561584,5.253673211240967e-09,29,attn:28-13,attn,0.6206896551724138,ceo_lastname
14,28,-0.00019107748440984237,-4.5346166657781665e-07,29,attn:28-14,attn,0.3103448275862069,ceo_lastname
15,28,-0.01316574084320262,-0.009543488183993984,29,attn:28-15,attn,0.0,ceo_lastname
16,28,-0.00010275169338420902,0.0,29,attn:28-16,attn,0.4827586206896552,ceo_lastname
17,28,-0.001119026432426405,-0.0010566089335487178,29,attn:28-17,attn,0.27586206896551724,ceo_lastname
18,28,0.0019107034692554985,0.0011086457724580453,29,attn:28-18,attn,0.7931034482758621,ceo_lastname
19,28,-4.534227255356968e-05,0.0,29,attn:28-19,attn,0.4482758620689655,ceo_lastname
2,28,0.00010384307344965173,3.2866431596407494e-09,29,attn:28-2,attn,0.5172413793103449,ceo_lastname
20,28,0.00048021800776363915,4.18278196968703e-09,29,attn:28-20,attn,0.5517241379310345,ceo_lastname
21,28,-0.0016111866535984285,-0.0009799861024476168,29,attn:28-21,attn,0.1724137931034483,ceo_lastname
22,28,-4.843826081255206e-05,2.1923546840080804e-09,29,attn:28-22,attn,0.5172413793103449,ceo_lastname
23,28,0.0005588451556375311,2.0134634810114368e-08,29,attn:28-23,attn,0.5862068965517241,ceo_lastname
24,28,7.984253475632651e-05,0.0,29,attn:28-24,attn,0.4482758620689655,ceo_lastname
25,28,-6.0079029574013396e-05,-3.9354833757401185e-08,29,attn:28-25,attn,0.3448275862068966,ceo_lastname
26,28,-0.00012700671406762017,-6.021517757499263e-08,29,attn:28-26,attn,0.3793103448275862,ceo_lastname
27,28,0.001052296810423163,-5.658396081961223e-07,29,attn:28-27,attn,0.41379310344827586,ceo_lastname
28,28,-0.00010824741108650049,-7.4193695448942745e-09,29,attn:28-28,attn,0.3793103448275862,ceo_lastname
29,28,-0.00028418088377917574,-0.00032603980565287034,29,attn:28-29,attn,0.3448275862068966,ceo_lastname
3,28,-0.0012858841548232891,-0.0006127104130861428,29,attn:28-3,attn,0.27586206896551724,ceo_lastname
30,28,0.0006921576734153103,8.811214542716505e-05,29,attn:28-30,attn,0.6551724137931034,ceo_lastname
31,28,-2.8656242487114282e-05,1.0961773420040402e-09,29,attn:28-31,attn,0.5172413793103449,ceo_lastname
4,28,3.054722845312853e-05,4.380246572008597e-09,29,attn:28-4,attn,0.5172413793103449,ceo_lastname
5,28,0.0008831589393654343,0.0008915951875198087,29,attn:28-5,attn,0.7586206896551724,ceo_lastname
6,28,-0.0006034262858075532,-0.0005169779261480523,29,attn:28-6,attn,0.20689655172413793,ceo_lastname
7,28,4.639858596091046e-06,-6.573286319281499e-09,29,attn:28-7,attn,0.3448275862068966,ceo_lastname
8,28,4.922682572768441e-05,3.9722407377512035e-09,29,attn:28-8,attn,0.5172413793103449,ceo_lastname
9,28,0.00010397507163590491,0.0,29,attn:28-9,attn,0.4482758620689655,ceo_lastname
0,29,-0.00018821764230385072,-4.600022636971655e-09,29,attn:29-0,attn,0.3103448275862069,ceo_lastname
1,29,0.0008583225671540709,-9.304694651441181e-09,29,attn:29-1,attn,0.3448275862068966,ceo_lastname
10,29,-0.030123655494226253,-0.017964822457078013,29,attn:29-10,attn,0.034482758620689655,ceo_lastname
11,29,0.02015268762661282,0.014557943659361392,29,attn:29-11,attn,0.9655172413793104,ceo_lastname
12,29,0.00010391375009763904,4.041287085569975e-10,29,attn:29-12,attn,0.5172413793103449,ceo_lastname
13,29,-5.274901498046763e-05,-2.1923546840080804e-09,29,attn:29-13,attn,0.4482758620689655,ceo_lastname
14,29,0.0009956192450533132,4.380246572008597e-09,29,attn:29-14,attn,0.5172413793103449,ceo_lastname
15,29,-8.54004171597926e-05,0.0,29,attn:29-15,attn,0.4827586206896552,ceo_lastname
16,29,0.00013715265024937502,0.0,29,attn:29-16,attn,0.4482758620689655,ceo_lastname
17,29,1.6089460123540954e-06,-5.595448996953273e-09,29,attn:29-17,attn,0.4482758620689655,ceo_lastname
18,29,5.736486435441229e-05,6.573286319281499e-09,29,attn:29-18,attn,0.5517241379310345,ceo_lastname
19,29,-5.943469077730757e-05,5.477738599401249e-09,29,attn:29-19,attn,0.5517241379310345,ceo_lastname
2,29,0.0003031399837889956,-2.3833444426507223e-08,29,attn:29-2,attn,0.4482758620689655,ceo_lastname
20,29,0.00011537922822345727,4.2730053317594176e-07,29,attn:29-20,attn,0.6206896551724138,ceo_lastname
