layer,mean_margin_recovery,median_margin_recovery,n,position_group,positive_fraction,task
9,0.00045416579987781543,-1.7121622026679094e-09,29,query,0.4482758620689655,ceo_lastname
10,0.0011381753787999473,2.7146458210859975e-05,29,query,0.5172413793103449,ceo_lastname
11,0.002092141798161009,-1.7926208441515843e-09,29,query,0.4482758620689655,ceo_lastname
12,0.0031536223443960057,0.0011001107358241137,29,query,0.6206896551724138,ceo_lastname
13,0.0020859028628367575,1.1353265346293367e-08,29,query,0.5517241379310345,ceo_lastname
14,0.002107511365260054,0.0006112667905159977,29,query,0.5862068965517241,ceo_lastname
15,0.00019428706424746482,0.0,29,query,0.4827586206896552,ceo_lastname
16,0.0007915762877329293,0.0006687304011030567,29,query,0.6206896551724138,ceo_lastname
17,0.0015722184837543146,0.001363407044175345,29,query,0.7931034482758621,ceo_lastname
18,0.002029868465167126,0.0015481311284582626,29,query,0.7931034482758621,ceo_lastname
19,0.0019975836778348055,0.0019127845761965979,29,query,0.7586206896551724,ceo_lastname
20,0.0019368037790085584,0.001376379934253117,29,query,0.7931034482758621,ceo_lastname
21,0.001540404338019027,0.001059581817470192,29,query,0.7241379310344828,ceo_lastname
22,0.0011187511804789266,0.0008475326656551068,29,query,0.7586206896551724,ceo_lastname
23,0.0011212799095352995,0.0007655035715817478,29,query,0.7241379310344828,ceo_lastname
24,0.002747259331473434,0.0011472635144380836,29,query,0.7931034482758621,ceo_lastname
25,0.002982135587035192,0.0013625957148598238,29,query,0.7586206896551724,ceo_lastname
26,0.003133812909607138,0.0020826008000745947,29,query,0.7586206896551724,ceo_lastname
27,0.0037610441206972034,0.0020826087445560706,29,query,0.8620689655172413,ceo_lastname
28,0.003626889990021627,0.0024636324174765875,29,query,0.7586206896551724,ceo_lastname
29,0.0029435981064923535,0.0017065743763522991,29,query,0.8620689655172413,ceo_lastname
30,6.399399636089744e-05,5.84032876267813e-09,29,query,0.5517241379310345,ceo_lastname
31,0.0,0.0,29,query,0.0,ceo_lastname
0,-0.0001433840713002668,0.0,29,random_prompt,0.13793103448275862,ceo_lastname
1,-6.515060852976958e-05,0.0,29,random_prompt,0.27586206896551724,ceo_lastname
2,4.969723675015892e-05,0.0,29,random_prompt,0.3103448275862069,ceo_lastname
3,-1.842189231541634e-05,0.0,29,random_prompt,0.20689655172413793,ceo_lastname
4,-4.645446810215269e-05,0.0,29,random_prompt,0.27586206896551724,ceo_lastname
5,5.6002093285120375e-05,0.0,29,random_prompt,0.3448275862068966,ceo_lastname
6,0.00026728067415482637,0.0,29,random_prompt,0.27586206896551724,ceo_lastname
7,3.2860373917578094e-05,0.0,29,random_prompt,0.2413793103448276,ceo_lastname
8,8.478088256177115e-05,0.0,29,random_prompt,0.2413793103448276,ceo_lastname
9,-1.2285737781008694e-05,0.0,29,random_prompt,0.27586206896551724,ceo_lastname
10,-0.00013239111291878293,0.0,29,random_prompt,0.20689655172413793,ceo_lastname
11,9.26365400715028e-07,0.0,29,random_prompt,0.20689655172413793,ceo_lastname
12,-5.4167251761568866e-05,0.0,29,random_prompt,0.2413793103448276,ceo_lastname
13,5.041379477836193e-05,0.0,29,random_prompt,0.2413793103448276,ceo_lastname
14,2.4768874442195293e-05,0.0,29,random_prompt,0.3103448275862069,ceo_lastname
15,4.719165912617012e-05,0.0,29,random_prompt,0.2413793103448276,ceo_lastname
