condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
edge_bottom_gold,4200,277821_1993.txt_employees_count_total_156,-3.397421360015869,2,2771,2752,-6.794842720031738,employees_count_total
clean,2260,55387_1993.txt_employees_count_total_10,-2.547231674194336,2,,,-5.094463348388672,employees_count_total
full_qr_ablation,2260,55387_1993.txt_employees_count_total_10,-4.844907283782959,2,,,-9.689814567565918,employees_count_total
edge_gold,2260,55387_1993.txt_employees_count_total_10,-3.053976535797119,2,3826,3791,-6.107953071594238,employees_count_total
edge_distractor,2260,55387_1993.txt_employees_count_total_10,-2.539459705352783,2,880,845,-5.078919410705566,employees_count_total
edge_random,2260,55387_1993.txt_employees_count_total_10,-2.5472464561462402,2,3707,3672,-5.0944929122924805,employees_count_total
edge_nonqr_gold,2260,55387_1993.txt_employees_count_total_10,-2.5404229164123535,2,3826,3791,-5.080845832824707,employees_count_total
edge_bottom_gold,2260,55387_1993.txt_employees_count_total_10,-2.523984909057617,2,3826,3791,-5.047969818115234,employees_count_total
clean,0,821480_1993.txt_employees_count_total_238,-1.3110733032226562,1,,,-1.3110733032226562,employees_count_total
full_qr_ablation,0,821480_1993.txt_employees_count_total_238,-2.393688440322876,1,,,-2.393688440322876,employees_count_total
edge_gold,0,821480_1993.txt_employees_count_total_238,-1.2098238468170166,1,3674,3649,-1.2098238468170166,employees_count_total
edge_random,0,821480_1993.txt_employees_count_total_238,-1.3182048797607422,1,6279,6254,-1.3182048797607422,employees_count_total
edge_nonqr_gold,0,821480_1993.txt_employees_count_total_238,-1.2632282972335815,1,3674,3649,-1.2632282972335815,employees_count_total
edge_bottom_gold,0,821480_1993.txt_employees_count_total_238,-1.3106517791748047,1,3674,3649,-1.3106517791748047,employees_count_total
clean,257,18497_1993.txt_employees_count_total_34,-0.004566716495901346,1,,,-0.004566716495901346,employees_count_total
full_qr_ablation,257,18497_1993.txt_employees_count_total_34,-8.574373245239258,1,,,-8.574373245239258,employees_count_total
edge_gold,257,18497_1993.txt_employees_count_total_34,-0.004848983604460955,1,3635,3618,-0.004848983604460955,employees_count_total
edge_distractor,257,18497_1993.txt_employees_count_total_34,-0.004646575544029474,1,827,810,-0.004646575544029474,employees_count_total
edge_random,257,18497_1993.txt_employees_count_total_34,-0.004587364383041859,1,1109,1092,-0.004587364383041859,employees_count_total
edge_nonqr_gold,257,18497_1993.txt_employees_count_total_34,-0.004616673570126295,1,3635,3618,-0.004616673570126295,employees_count_total
edge_bottom_gold,257,18497_1993.txt_employees_count_total_34,-0.0046304380521178246,1,3635,3618,-0.0046304380521178246,employees_count_total
