component_type,condition,mean_margin_recovery,median_margin_recovery,n,positive_fraction,task
control,same_layer_top1,9.453620644405384e-06,-3.424324405335819e-09,29,0.4482758620689655,ceo_lastname
control,same_layer_top16,-0.0008663242503121396,-0.0005540112453185825,29,0.27586206896551724,ceo_lastname
control,same_layer_top2,6.538959529485462e-05,0.0,29,0.4482758620689655,ceo_lastname
control,same_layer_top4,-8.317081810789164e-05,0.0,29,0.4482758620689655,ceo_lastname
head,candidate_13-18,-0.00036214701801819224,0.00013442900999008966,29,0.5172413793103449,ceo_lastname
head,candidate_14-31,0.0011838628303553213,0.0004274210782495296,29,0.5517241379310345,ceo_lastname
head_set,candidate_set,0.0004162884336487641,0.0,29,0.4827586206896552,ceo_lastname
head_set,qr_top1,0.0011838628303553213,0.0004274210782495296,29,0.5517241379310345,ceo_lastname
head_set,qr_top16,0.002047820237529496,0.0011487617592779932,29,0.6551724137931034,ceo_lastname
head_set,qr_top2,0.0004162884336487641,0.0,29,0.4827586206896552,ceo_lastname
head_set,qr_top4,0.00012929219021392857,3.671417858621661e-05,29,0.5172413793103449,ceo_lastname
mlp,mlp_L0,-3.4765987698131524e-06,-8.944728464946231e-07,29,0.3448275862068966,ceo_lastname
mlp,mlp_L1,-7.529646894034086e-05,-4.7348039895088245e-05,29,0.3103448275862069,ceo_lastname
mlp,mlp_L10,0.0005144976802064616,-2.8237265095708776e-05,29,0.3793103448275862,ceo_lastname
mlp,mlp_L11,0.0008125550994161823,-0.00013317766217646658,29,0.41379310344827586,ceo_lastname
mlp,mlp_L12,-0.0002849262004097481,-9.409344028939053e-09,29,0.41379310344827586,ceo_lastname
mlp,mlp_L13,-0.00018438678308915267,-9.610774622696166e-05,29,0.41379310344827586,ceo_lastname
mlp,mlp_L14,0.0005227820139348526,-4.384709368016161e-09,29,0.4482758620689655,ceo_lastname
mlp,mlp_L15,0.00021909507944486729,8.963104220757921e-09,29,0.5517241379310345,ceo_lastname
mlp,mlp_L16,-0.0001289603443228074,-1.8663988978098644e-08,29,0.3448275862068966,ceo_lastname
mlp,mlp_L17,-0.00010785574285671572,0.0,29,0.4482758620689655,ceo_lastname
mlp,mlp_L18,0.00012485324681536588,0.0,29,0.4827586206896552,ceo_lastname
mlp,mlp_L19,6.329774383607611e-05,1.1145641351443097e-07,29,0.5172413793103449,ceo_lastname
mlp,mlp_L2,-3.8524083366418667e-05,-9.118296542085677e-08,29,0.3793103448275862,ceo_lastname
mlp,mlp_L20,0.0001558488364181933,1.049878497441659e-06,29,0.6896551724137931,ceo_lastname
mlp,mlp_L21,2.7407076486762586e-05,-4.380246572008597e-09,29,0.4482758620689655,ceo_lastname
mlp,mlp_L22,-5.829055787606161e-05,0.0,29,0.4482758620689655,ceo_lastname
mlp,mlp_L23,-0.00010772541204645725,-3.2885320260121202e-09,29,0.3793103448275862,ceo_lastname
mlp,mlp_L24,-4.524781216304805e-05,-4.6833602205380674e-08,29,0.3793103448275862,ceo_lastname
mlp,mlp_L25,-7.824142824818202e-05,5.975402813838615e-10,29,0.5172413793103449,ceo_lastname
mlp,mlp_L26,6.972114370521952e-05,0.0,29,0.4482758620689655,ceo_lastname
mlp,mlp_L27,0.0002877692703787262,1.3306439623925066e-06,29,0.6206896551724138,ceo_lastname
mlp,mlp_L28,0.0003571181215400675,7.683519223915384e-08,29,0.5862068965517241,ceo_lastname
mlp,mlp_L29,0.0006452862007206956,3.451846833282339e-05,29,0.6551724137931034,ceo_lastname
mlp,mlp_L3,-0.00017021157206349274,-6.399757482873355e-06,29,0.27586206896551724,ceo_lastname
mlp,mlp_L30,-2.27077341542826e-05,1.895284899972062e-09,29,0.5172413793103449,ceo_lastname
mlp,mlp_L31,0.0,0.0,29,0.0,ceo_lastname
mlp,mlp_L4,-0.00018812170250302144,-3.4167627301196916e-07,29,0.3793103448275862,ceo_lastname
mlp,mlp_L5,5.307179581097761e-05,0.0,29,0.4482758620689655,ceo_lastname
mlp,mlp_L6,-0.00015973456254808114,0.0,29,0.4482758620689655,ceo_lastname
mlp,mlp_L7,-7.188448431069735e-05,-5.707207342226365e-10,29,0.4482758620689655,ceo_lastname
mlp,mlp_L8,0.00012956462268724357,-0.00012552769335798114,29,0.3448275862068966,ceo_lastname
mlp,mlp_L9,0.00043277183510689144,-6.270657719563087e-09,29,0.4482758620689655,ceo_lastname
control,bottom_top1,-1.3137354300473716e-05,-1.6778148637098033e-05,13,0.38461538461538464,employees_count_total
control,bottom_top16,-0.00020130139630792043,-0.00029232559739236243,13,0.23076923076923078,employees_count_total
control,bottom_top2,4.093381868356182e-06,9.034794050126286e-05,13,0.5384615384615384,employees_count_total
control,bottom_top4,-3.7046266575595306e-07,8.355808173644215e-05,13,0.6153846153846154,employees_count_total
control,random00_top1,-6.515102115670126e-05,-8.27413329108145e-05,13,0.38461538461538464,employees_count_total
control,random00_top16,-0.0001099791036199164,-9.869653841845363e-06,13,0.46153846153846156,employees_count_total
control,random00_top2,-9.341223266468893e-05,-5.5064157431501334e-05,13,0.38461538461538464,employees_count_total
control,random00_top4,9.100424617944226e-06,-3.870153523278982e-08,13,0.46153846153846156,employees_count_total
