model,target_task,K,sensitivity_mean_drop,on_target_drop,off_target_mean_drop,mean_accuracy,baseline_accuracy
Qwen2.5-7B-Instruct,holder_record_amount,32,0.53125,0.5416666666666666,0.5297619047619048,0.010416666666666666,0.5416666666666666
Qwen2.5-7B-Instruct,holder_record_amount,48,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.0,0.5416666666666666
Qwen2.5-7B-Instruct,holder_record_amount,64,0.5364583333333333,0.5416666666666666,0.5357142857142857,0.005208333333333333,0.5416666666666666
Qwen2.5-7B-Instruct,holder_record_amount,96,0.5104166666666666,0.5416666666666666,0.5059523809523809,0.03125,0.5416666666666666
Qwen2.5-7B-Instruct,holder_record_amount,128,0.484375,0.5416666666666666,0.47619047619047616,0.057291666666666664,0.5416666666666666
Qwen2.5-7B-Instruct,incorporation_state,0,0.0,0.0,0.0,0.96875,0.96875
Qwen2.5-7B-Instruct,incorporation_state,8,0.4375,0.75,0.39285714285714285,0.53125,0.96875
Qwen2.5-7B-Instruct,incorporation_state,16,0.5859375,0.71875,0.5669642857142857,0.3828125,0.96875
Qwen2.5-7B-Instruct,incorporation_state,32,0.7890625,0.71875,0.7991071428571429,0.1796875,0.96875
Qwen2.5-7B-Instruct,incorporation_state,48,0.89453125,0.875,0.8973214285714286,0.07421875,0.96875
Qwen2.5-7B-Instruct,incorporation_state,64,0.921875,0.90625,0.9241071428571429,0.046875,0.96875
Qwen2.5-7B-Instruct,incorporation_state,96,0.87890625,0.46875,0.9375,0.08984375,0.96875
Qwen2.5-7B-Instruct,incorporation_state,128,0.87109375,0.53125,0.9196428571428571,0.09765625,0.96875
Qwen2.5-7B-Instruct,incorporation_year,0,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,8,0.5166666666666667,0.8333333333333334,0.4714285714285715,0.35,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,16,0.6791666666666667,0.8333333333333334,0.6571428571428573,0.1875,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,32,0.8125,0.8666666666666667,0.8047619047619048,0.05416666666666667,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,48,0.8666666666666667,0.8666666666666667,0.8666666666666666,0.0,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,64,0.8666666666666667,0.8666666666666667,0.8666666666666666,0.0,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,96,0.8583333333333334,0.8666666666666667,0.8571428571428571,0.008333333333333333,0.8666666666666667
Qwen2.5-7B-Instruct,incorporation_year,128,0.8583333333333334,0.8666666666666667,0.8571428571428571,0.008333333333333333,0.8666666666666667
Qwen2.5-7B-Instruct,registrant_name,0,0.0,0.0,0.0,0.975609756097561,0.975609756097561
