condition,gold,idx,mean_logprob,num_answer_tokens,span_end,span_start,sum_logprob,task
edge_bottom_gold,Bogle,801124_1993.txt_ceo_lastname_134,-0.00090650818310678,2,2834,2796,-0.00181301636621356,ceo_lastname
clean,Peterson,859257_1993.txt_ceo_lastname_146,-0.012589940801262856,2,,,-0.02517988160252571,ceo_lastname
full_qr_ablation,Peterson,859257_1993.txt_ceo_lastname_146,-4.548727035522461,2,,,-9.097454071044922,ceo_lastname
edge_gold,Peterson,859257_1993.txt_ceo_lastname_146,-0.06871721893548965,2,3518,3485,-0.1374344378709793,ceo_lastname
edge_distractor,Peterson,859257_1993.txt_ceo_lastname_146,-0.012742898426949978,2,356,323,-0.025485796853899956,ceo_lastname
edge_random,Peterson,859257_1993.txt_ceo_lastname_146,-0.012529490515589714,2,45,12,-0.025058981031179428,ceo_lastname
edge_nonqr_gold,Peterson,859257_1993.txt_ceo_lastname_146,-0.012063736096024513,2,3518,3485,-0.024127472192049026,ceo_lastname
edge_bottom_gold,Peterson,859257_1993.txt_ceo_lastname_146,-0.012626267969608307,2,3518,3485,-0.025252535939216614,ceo_lastname
clean,86168,66740_1993.txt_employees_count_total_197,-5.400080680847168,2,,,-10.800161361694336,employees_count_total
full_qr_ablation,86168,66740_1993.txt_employees_count_total_197,-7.803508281707764,2,,,-15.607016563415527,employees_count_total
edge_gold,86168,66740_1993.txt_employees_count_total_197,-4.692162990570068,2,3114,3105,-9.384325981140137,employees_count_total
edge_distractor,86168,66740_1993.txt_employees_count_total_197,-5.400086402893066,2,935,926,-10.800172805786133,employees_count_total
edge_random,86168,66740_1993.txt_employees_count_total_197,-5.400076866149902,2,6346,6337,-10.800153732299805,employees_count_total
edge_nonqr_gold,86168,66740_1993.txt_employees_count_total_197,-5.423440933227539,2,3114,3105,-10.846881866455078,employees_count_total
edge_bottom_gold,86168,66740_1993.txt_employees_count_total_197,-5.400091171264648,2,3114,3105,-10.800182342529297,employees_count_total
clean,60400,10456_1993.txt_employees_count_total_98,-5.765077114105225,2,,,-11.53015422821045,employees_count_total
full_qr_ablation,60400,10456_1993.txt_employees_count_total_98,-6.48478364944458,2,,,-12.96956729888916,employees_count_total
edge_gold,60400,10456_1993.txt_employees_count_total_98,-5.766767501831055,2,4327,4293,-11.53353500366211,employees_count_total
edge_distractor,60400,10456_1993.txt_employees_count_total_98,-5.765161991119385,2,336,302,-11.53032398223877,employees_count_total
edge_random,60400,10456_1993.txt_employees_count_total_98,-5.769083023071289,2,4271,4237,-11.538166046142578,employees_count_total
edge_nonqr_gold,60400,10456_1993.txt_employees_count_total_98,-5.777621269226074,2,4327,4293,-11.555242538452148,employees_count_total
edge_bottom_gold,60400,10456_1993.txt_employees_count_total_98,-5.7614874839782715,2,4327,4293,-11.522974967956543,employees_count_total
clean,4151,745287_1993.txt_employees_count_total_38,-4.040112018585205,2,,,-8.08022403717041,employees_count_total
full_qr_ablation,4151,745287_1993.txt_employees_count_total_38,-4.414342880249023,2,,,-8.828685760498047,employees_count_total
edge_gold,4151,745287_1993.txt_employees_count_total_38,-4.1651225090026855,2,3551,3522,-8.330245018005371,employees_count_total
edge_distractor,4151,745287_1993.txt_employees_count_total_38,-4.047912120819092,2,868,839,-8.095824241638184,employees_count_total
edge_random,4151,745287_1993.txt_employees_count_total_38,-4.047913074493408,2,4858,4829,-8.095826148986816,employees_count_total
edge_nonqr_gold,4151,745287_1993.txt_employees_count_total_38,-4.071352481842041,2,3551,3522,-8.142704963684082,employees_count_total
edge_bottom_gold,4151,745287_1993.txt_employees_count_total_38,-4.04790735244751,2,3551,3522,-8.09581470489502,employees_count_total
clean,11500,36326_1993.txt_employees_count_total_141,-4.863256454467773,2,,,-9.726512908935547,employees_count_total
full_qr_ablation,11500,36326_1993.txt_employees_count_total_141,-4.750899791717529,2,,,-9.501799583435059,employees_count_total
edge_gold,11500,36326_1993.txt_employees_count_total_141,-4.356232643127441,2,3775,3753,-8.712465286254883,employees_count_total
edge_distractor,11500,36326_1993.txt_employees_count_total_141,-4.878897190093994,2,305,283,-9.757794380187988,employees_count_total
edge_random,11500,36326_1993.txt_employees_count_total_141,-4.878881931304932,2,1528,1506,-9.757763862609863,employees_count_total
edge_nonqr_gold,11500,36326_1993.txt_employees_count_total_141,-4.902426242828369,2,3775,3753,-9.804852485656738,employees_count_total
edge_bottom_gold,11500,36326_1993.txt_employees_count_total_141,-4.878879547119141,2,3775,3753,-9.757759094238281,employees_count_total
clean,76200,732714_1993.txt_employees_count_total_169,-5.419198513031006,2,,,-10.838397026062012,employees_count_total
full_qr_ablation,76200,732714_1993.txt_employees_count_total_169,-5.410017013549805,2,,,-10.82003402709961,employees_count_total
edge_gold,76200,732714_1993.txt_employees_count_total_169,-5.133418083190918,2,2531,2509,-10.266836166381836,employees_count_total
edge_distractor,76200,732714_1993.txt_employees_count_total_169,-5.407614231109619,2,327,305,-10.815228462219238,employees_count_total
edge_random,76200,732714_1993.txt_employees_count_total_169,-5.411520481109619,2,3737,3715,-10.823040962219238,employees_count_total
edge_nonqr_gold,76200,732714_1993.txt_employees_count_total_169,-5.466066360473633,2,2531,2509,-10.932132720947266,employees_count_total
edge_bottom_gold,76200,732714_1993.txt_employees_count_total_169,-5.411392688751221,2,2531,2509,-10.822785377502441,employees_count_total
clean,1741,71180_1993.txt_employees_count_total_214,-2.521683692932129,2,,,-5.043367385864258,employees_count_total
full_qr_ablation,1741,71180_1993.txt_employees_count_total_214,-4.761582851409912,2,,,-9.523165702819824,employees_count_total
edge_gold,1741,71180_1993.txt_employees_count_total_214,-2.8705384731292725,2,1647,1629,-5.741076946258545,employees_count_total
edge_distractor,1741,71180_1993.txt_employees_count_total_214,-2.529421806335449,2,937,919,-5.058843612670898,employees_count_total
edge_random,1741,71180_1993.txt_employees_count_total_214,-2.52166748046875,2,6258,6240,-5.0433349609375,employees_count_total
edge_nonqr_gold,1741,71180_1993.txt_employees_count_total_214,-2.47572922706604,2,1647,1629,-4.95145845413208,employees_count_total
edge_bottom_gold,1741,71180_1993.txt_employees_count_total_214,-2.514064311981201,2,1647,1629,-5.028128623962402,employees_count_total
clean,5300,34501_1993.txt_employees_count_total_219,-3.7876551151275635,2,,,-7.575310230255127,employees_count_total
full_qr_ablation,5300,34501_1993.txt_employees_count_total_219,-4.152063369750977,2,,,-8.304126739501953,employees_count_total
edge_gold,5300,34501_1993.txt_employees_count_total_219,-3.2810068130493164,2,5225,5205,-6.562013626098633,employees_count_total
edge_distractor,5300,34501_1993.txt_employees_count_total_219,-3.7876346111297607,2,985,965,-7.5752692222595215,employees_count_total
edge_random,5300,34501_1993.txt_employees_count_total_219,-3.795447587966919,2,1112,1092,-7.590895175933838,employees_count_total
edge_nonqr_gold,5300,34501_1993.txt_employees_count_total_219,-3.8114428520202637,2,5225,5205,-7.622885704040527,employees_count_total
edge_bottom_gold,5300,34501_1993.txt_employees_count_total_219,-3.7954649925231934,2,5225,5205,-7.590929985046387,employees_count_total
clean,4200,277821_1993.txt_employees_count_total_156,-3.3897738456726074,2,,,-6.779547691345215,employees_count_total
