head,layer,mean_margin_recovery,median_margin_recovery,n,node_id,node_type,positive_fraction,task
21,27,-0.0031782760346829478,-0.0010856223949235262,12,attn:27-21,attn,0.3333333333333333,ceo_lastname
22,27,0.019754809420379594,4.18322652926831e-06,12,attn:27-22,attn,0.5833333333333334,ceo_lastname
23,27,0.014728789707745396,0.0055266048111605815,12,attn:27-23,attn,1.0,ceo_lastname
24,27,0.00029456063310478336,9.652120979819143e-07,12,attn:27-24,attn,0.6666666666666666,ceo_lastname
25,27,-4.1516355507745496e-05,-0.00011783216459610632,12,attn:27-25,attn,0.3333333333333333,ceo_lastname
26,27,-0.00021027678837342342,-7.85878712239947e-06,12,attn:27-26,attn,0.3333333333333333,ceo_lastname
27,27,0.0003649838749220737,4.780322251070892e-09,12,attn:27-27,attn,0.5,ceo_lastname
28,27,0.0007439024623337262,0.0006288365017974292,12,attn:27-28,attn,0.5833333333333334,ceo_lastname
29,27,-9.801800688413658e-06,-1.416137850410322e-05,12,attn:27-29,attn,0.25,ceo_lastname
3,27,0.0004640994264566755,1.4835211600978538e-05,12,attn:27-3,attn,0.5833333333333334,ceo_lastname
30,27,0.00025891574537870957,-4.6444587591785647e-07,12,attn:27-30,attn,0.5,ceo_lastname
31,27,1.4811748566660417e-05,-2.8536036711131824e-10,12,attn:27-31,attn,0.4166666666666667,ceo_lastname
4,27,0.010469904989686087,0.0013596565291225417,12,attn:27-4,attn,0.5,ceo_lastname
5,27,0.01940236460990343,0.01722686873612253,12,attn:27-5,attn,0.8333333333333334,ceo_lastname
6,27,0.0018907481500310653,-3.662342831740207e-05,12,attn:27-6,attn,0.4166666666666667,ceo_lastname
7,27,0.002286739643551083,-0.0023719796461798004,12,attn:27-7,attn,0.3333333333333333,ceo_lastname
8,27,0.0005547058546274262,0.0006262322560540175,12,attn:27-8,attn,0.6666666666666666,ceo_lastname
9,27,0.00017984478127941963,3.421293688601367e-08,12,attn:27-9,attn,0.5833333333333334,ceo_lastname
0,28,0.011543925880723822,0.0035857605513034147,12,attn:28-0,attn,0.9166666666666666,ceo_lastname
1,28,-4.3148969758713904e-05,-1.5156578865074836e-07,12,attn:28-1,attn,0.3333333333333333,ceo_lastname
10,28,0.0023648854301653497,0.001152709738889314,12,attn:28-10,attn,0.9166666666666666,ceo_lastname
11,28,-0.0013932508018571958,-0.0011809089788591002,12,attn:28-11,attn,0.16666666666666666,ceo_lastname
12,28,0.00021041430973361074,-9.029309647387818e-08,12,attn:28-12,attn,0.4166666666666667,ceo_lastname
13,28,0.010907729922713693,2.48201023587343e-09,12,attn:28-13,attn,0.5,ceo_lastname
14,28,-1.0665537845336553e-05,-2.344355632009139e-07,12,attn:28-14,attn,0.16666666666666666,ceo_lastname
15,28,-0.015272330329791103,-0.010878624990989858,12,attn:28-15,attn,0.0,ceo_lastname
16,28,-7.825550889216283e-05,8.963104220757922e-10,12,attn:28-16,attn,0.5,ceo_lastname
17,28,-0.0015040425697590608,-0.0017653163203997185,12,attn:28-17,attn,0.16666666666666666,ceo_lastname
18,28,0.003269525658726098,0.002011231267073317,12,attn:28-18,attn,0.8333333333333334,ceo_lastname
19,28,0.0003821531159863549,7.134854200594938e-08,12,attn:28-19,attn,0.75,ceo_lastname
2,28,7.644452525876014e-05,2.987701406919307e-09,12,attn:28-2,attn,0.5,ceo_lastname
20,28,0.0014122015409196358,0.0004297946755111257,12,attn:28-20,attn,0.6666666666666666,ceo_lastname
21,28,-0.001911287232676415,-0.0006734952976936332,12,attn:28-21,attn,0.16666666666666666,ceo_lastname
22,28,3.35358310122142e-05,4.701208688184029e-08,12,attn:28-22,attn,0.5,ceo_lastname
23,28,0.0013259226990765052,0.0001324944577748408,12,attn:28-23,attn,0.75,ceo_lastname
24,28,0.00013831127584399845,-5.707207342226364e-09,12,attn:28-24,attn,0.4166666666666667,ceo_lastname
25,28,-8.478909857859582e-06,-2.206757800423604e-08,12,attn:28-25,attn,0.3333333333333333,ceo_lastname
26,28,-0.0002869216828790538,-0.00032316569042541664,12,attn:28-26,attn,0.3333333333333333,ceo_lastname
27,28,0.001963113766134727,-8.167662118496791e-06,12,attn:28-27,attn,0.4166666666666667,ceo_lastname
28,28,0.00023861879171142698,5.676632673146684e-09,12,attn:28-28,attn,0.5,ceo_lastname
29,28,-0.00022809504302291844,-0.0004683585833579885,12,attn:28-29,attn,0.25,ceo_lastname
3,28,-0.0019948053072311764,-0.0015584791987672646,12,attn:28-3,attn,0.16666666666666666,ceo_lastname
30,28,0.0008825394095895753,0.0006007190059304835,12,attn:28-30,attn,0.6666666666666666,ceo_lastname
31,28,0.00011700751197280512,9.178212085638093e-08,12,attn:28-31,attn,0.5833333333333334,ceo_lastname
4,28,0.00023100469827244422,1.7439566659544785e-08,12,attn:28-4,attn,0.5,ceo_lastname
5,28,0.0012361736661062122,0.0007350716897653324,12,attn:28-5,attn,0.6666666666666666,ceo_lastname
6,28,-0.00035503813254085374,-0.0003850128266878572,12,attn:28-6,attn,0.25,ceo_lastname
7,28,0.0004389976438666802,3.252075123792492e-05,12,attn:28-7,attn,0.5,ceo_lastname
8,28,0.00025446633046834975,9.398028320846143e-05,12,attn:28-8,attn,0.5,ceo_lastname
9,28,0.00017852226268454685,0.0,12,attn:28-9,attn,0.4166666666666667,ceo_lastname
0,29,0.0002884696150005951,5.975402813838614e-09,12,attn:29-0,attn,0.5,ceo_lastname
1,29,4.595338602514453e-05,-2.7439046007931933e-07,12,attn:29-1,attn,0.25,ceo_lastname
10,29,-0.03201756231499345,-0.029154992107581445,12,attn:29-10,attn,0.08333333333333333,ceo_lastname
11,29,0.025260809195589953,0.021397115583675883,12,attn:29-11,attn,1.0,ceo_lastname
12,29,0.00025868322651809644,-1.4938507034596535e-09,12,attn:29-12,attn,0.4166666666666667,ceo_lastname
13,29,9.613253187818766e-05,1.6079081009742276e-08,12,attn:29-13,attn,0.6666666666666666,ceo_lastname
14,29,0.00030127787929012945,-3.286471547611238e-09,12,attn:29-14,attn,0.4166666666666667,ceo_lastname
15,29,7.085482987167955e-05,8.837633917562326e-07,12,attn:29-15,attn,0.5833333333333334,ceo_lastname
16,29,0.0001145169146278567,-4.3047610124411734e-08,12,attn:29-16,attn,0.4166666666666667,ceo_lastname
17,29,0.00023777376136619344,8.963104220757922e-10,12,attn:29-17,attn,0.5,ceo_lastname
18,29,0.00012953594295186079,3.02712269270422e-05,12,attn:29-18,attn,0.5,ceo_lastname
19,29,-6.850096418270844e-05,9.364739952835126e-09,12,attn:29-19,attn,0.5833333333333334,ceo_lastname
2,29,0.0007545662819465204,2.6744506339854273e-07,12,attn:29-2,attn,0.6666666666666666,ceo_lastname
20,29,5.9447062309953565e-05,2.091390984843515e-09,12,attn:29-20,attn,0.5,ceo_lastname
21,29,0.0002698400362144406,1.7165188580845278e-05,12,attn:29-21,attn,0.75,ceo_lastname
22,29,0.0003229382639943419,2.987701406919307e-09,12,attn:29-22,attn,0.5,ceo_lastname
23,29,-0.0001562002764167212,-4.717440427076541e-07,12,attn:29-23,attn,0.4166666666666667,ceo_lastname
24,29,0.0011843737577261527,0.0003581212932774383,12,attn:29-24,attn,0.6666666666666666,ceo_lastname
25,29,-0.00042933911347619805,-0.00045467732993757825,12,attn:29-25,attn,0.3333333333333333,ceo_lastname
26,29,-0.0005876860945555055,-0.0004298400907559709,12,attn:29-26,attn,0.25,ceo_lastname
27,29,0.0004370739051315307,3.5781448894114003e-06,12,attn:29-27,attn,0.5833333333333334,ceo_lastname
28,29,0.0004048348041737887,2.0626754209706803e-08,12,attn:29-28,attn,0.5833333333333334,ceo_lastname
29,29,0.00014859946659956063,-1.992149570607849e-08,12,attn:29-29,attn,0.4166666666666667,ceo_lastname
3,29,-0.00012043737018888573,-1.4589274467337086e-07,12,attn:29-3,attn,0.4166666666666667,ceo_lastname
30,29,0.0004814831389913022,-7.96541381178718e-09,12,attn:29-30,attn,0.3333333333333333,ceo_lastname
31,29,0.001839368053900144,0.0012174133518628198,12,attn:29-31,attn,0.8333333333333334,ceo_lastname
4,29,0.0006083912211698692,2.6432400311555593e-07,12,attn:29-4,attn,0.5833333333333334,ceo_lastname
5,29,3.802043279982421e-05,0.0,12,attn:29-5,attn,0.4166666666666667,ceo_lastname
6,29,0.00014738020545710848,2.091390984843515e-09,12,attn:29-6,attn,0.5,ceo_lastname
7,29,0.000497086254389609,3.90494644768068e-08,12,attn:29-7,attn,0.5,ceo_lastname
8,29,0.017661032657120646,0.012742709466280016,12,attn:29-8,attn,1.0,ceo_lastname
9,29,0.010185226990427195,0.0029158656891324058,12,attn:29-9,attn,0.9166666666666666,ceo_lastname
0,30,-0.005032810944435373,-0.004549687875684145,12,attn:30-0,attn,0.08333333333333333,ceo_lastname
1,30,0.005148696128437984,0.0016868026470894548,12,attn:30-1,attn,0.9166666666666666,ceo_lastname
10,30,0.0005742900595897443,0.0002994408870853768,12,attn:30-10,attn,0.5833333333333334,ceo_lastname
